timestamp,imu:accel.x,imu:accel.y,imu:accel.z,imu:gyro.x,imu:gyro.y,imu:gyro.z,imu:temperature,bme280:temperature,bme280:humidity,bme280:pressure
186500,-0.053955,1.483765,0.807861,-406.9824,-74.52393,106.1401,195.9375,,,
186556,-0.358521,1.554688,0.980469,-79.04053,92.65137,-80.07813,196.25,,,
186612,-0.429321,0.648682,0.264282,-4.394531,188.8428,-114.0137,197.625,,,
186668,-0.480957,0.751099,0.073486,36.9873,136.6577,-135.7422,195.6875,,,
186724,-0.417969,0.601196,0.035034,53.10059,110.1685,-227.1118,195.625,,,
186780,-0.404907,0.332153,0.052368,225.5859,128.2959,-351.9897,196.9375,,,
186836,-0.125854,-0.264771,-0.0896,355.2856,86.60889,-477.0508,191.8125,,,
186894,0.448853,-1.647217,-0.006592,339.1113,-80.32227,-540.7104,195,,,
186951,0.434937,-2.239868,0.986084,411.9263,-260.376,-137.9395,195.125,,,
187007,0.317749,-1.313232,1.551025,-49.74365,78.55225,186.3403,202.75,,,
187063,0.187378,-1.010986,0.744385,19.40918,197.6929,191.1011,194.9375,,,
187119,-0.034302,-0.79248,0.610107,26.79443,217.5293,252.3804,194.875,,,
187175,-0.220703,-0.596191,0.348633,-100.2808,240.2954,316.8945,194.8125,,,
187231,-0.39563,-0.099609,-0.010132,-263.0615,155.0293,333.6792,194.125,,,
187287,-0.186768,0.119751,-0.050049,-420.2881,25.6958,430.1147,195.5625,,,
187343,0.651245,0.27771,0.63916,-520.874,-233.0933,541.626,192,,,
187399,1.192261,0.828613,2.392944,-293.2739,-326.7822,460.2661,195.0625,,,
187455,0.865234,1.099854,1.332275,-83.37402,145.3247,160.2173,194.5,,,
187511,0.206909,1.039185,0.52124,144.3481,72.81494,-44.31152,194.75,,,
187567,0.262695,0.484619,1.010132,92.95654,52.24609,-109.1919,194.1875,,,
187623,0.152832,0.704834,0.765259,-19.83643,82.39746,-90.08789,194.6875,,,
187679,0.172485,1.174194,1.10376,148.5596,210.6323,-231.0181,193.75,,,
187735,0.592651,0.975586,0.348633,494.812,121.46,-477.9053,194,,,
187791,0.628174,0.168579,0.515625,374.5117,-57.61719,-676.2085,193.75,,,
187847,0.72583,-0.719116,0.907837,145.2637,-223.3276,-772.644,193.5625,,,
187903,0.195923,-3.657471,0.796265,51.63574,180.0537,-310.9741,193.375,,,
187959,-0.067139,-1.529419,0.20105,-102.1118,-3.601074,54.6875,194.125,,,
188015,-0.096436,-0.999878,0.288818,-60.48584,88.37891,115.9058,193.8125,,,
188071,-0.209595,-1.740967,0.132813,-129.6997,35.33936,220.3369,193.5625,,,
188127,-0.039185,-0.817383,0.143555,-128.9063,47.54639,421.814,194.375,,,
188183,0.003174,-0.16687,-0.345459,-443.3594,-93.44482,520.752,193.75,,,
188239,0.303589,0.615723,0.356812,-206.1157,-417.6636,437.561,193.75,,,
188295,0.062378,1.355713,2.505249,-138.855,-21.1792,143.9819,193.5625,,,
